Phần,Nhiệm vụ,Kiến thức giáo trình,Người thực hiện,Trạng thái code hiện tại,Ghi chú điều chỉnh
Global schema,"Lead ERD, định nghĩa schema toàn cục, khóa chính/ngoại, thống nhất mô hình 3 site.",Chương 2,Nghĩa,"Đã có schema SQL cho 3 site","Giữ Nghĩa làm lead schema."
Global schema,"Review ERD và đối chiếu với yêu cầu đề tài 2.",Chương 2,Hiển,"Có entity Java tương ứng nhiều bảng","Review order/transaction vì phần này còn thiếu."
Global schema,"Review allocation và mapping fragment -> site.",Chương 2,Dũng,"Đã có 3 site HN/DN/HCM","Tập trung tài liệu hóa mapping."
Fragmentation,"Thiết kế phân mảnh ngang cho warehouse, inventory, orders theo site/kho.","Mục 2.1.1, 2.1.1.3",Hiển,"Warehouse/inventory đã phân theo site trong SQL","Orders có bảng nhưng chưa có service/API."
Fragmentation,"Thiết kế phân mảnh dọc product: product_basic nhân bản, product_detail ở master HN; thiết kế customer phân mảnh ngang theo main_site_id.","Mục 2.1.2, 2.3",Nghĩa,"Product basic/detail đã có; customer đã có main_site_id","Cần viết rõ trong báo cáo."
Fragmentation,"Thiết kế allocation: fragment nào đặt tại HN/DN/HCM; viết tài liệu mapping schema to DB.","Mục 2.2, 2.3",Dũng,"Có docker-compose và init SQL 3 site","Cần bổ sung bảng allocation trong báo cáo."
Replication,"Hoàn thiện lazy replication cho product_basic từ HN sang DN/HCM bằng replication_log + scheduled job.","Mục 6.2.2, 6.3.3",Nghĩa,"Đã implement phần lớn","Cần test/demo create/update/delete product."
Replication,"Implement hoặc tài liệu hóa replication cho category.","Mục 6.2.2, 6.3.3",Hiển,"Hiện chỉ seed category giống nhau ở 3 DB","Nếu không code thì ghi rõ là static replicated reference data."
Replication,"Customer không bắt buộc replication; chuyển thành distributed customer lookup theo email/main_site_id.","Mục 6.1.1, 6.5",Dũng,"Đã có SiteInterceptor broadcast lookup qua 3 site","Sửa tên nhiệm vụ từ replication customer_identity sang distributed lookup."
Distributed query,"Q1: Tổng tồn kho toàn hệ thống. Q2: Sản phẩm còn hàng ở những kho/site nào.","Mục 4.2, 4.5.1",Nghĩa,"Q1 đã có getGlobalStock; Q2 gần đúng qua findSiteWithEnoughStock","Cần response đủ kho/site và tài liệu phân tích chi phí truyền dữ liệu."
Distributed query,"Q3: Doanh thu theo tháng của từng kho và toàn hệ thống. Q4: Top 5 sản phẩm bán chạy toàn hệ thống.","Mục 4.3, 4.5.3, 9.3.1",Hiển,"Chưa implement","Cần order/order_detail data trước."
Distributed query,"Q5: Đơn hàng có sản phẩm xuất từ nhiều kho. Q6: So sánh thời gian Q1 phân tán vs tập trung/mô phỏng.","Mục 4.3, 8.4",Dũng,"Chưa implement","Q5 phụ thuộc order liên kho."
Distributed transaction,"Xử lý đơn hàng một kho: local transaction sau khi đã đọc tồn kho phân tán nếu cần.","Mục 5.2.1, 5.4.1",Nghĩa,"Chưa có OrderService","Không gọi mục này là distributed transaction; gọi là distributed read + local transaction."
Distributed transaction,"Xử lý đơn hàng lấy từ 2 kho DN và HCM bằng mô phỏng 2PC: prepare -> commit/abort.","Mục 5.4.1, 5.4.5",Hiển,"transaction_log có bảng/entity nhưng chưa dùng","Đây là phần distributed transaction chính."
Distributed transaction,"Fallback order: khi kho chính thiếu hàng, tìm kho khác đủ hàng; nếu nhiều kho tham gia thì dùng flow 2PC.","Mục 5.2.2, 5.4.1",Dũng,"Có findSiteWithEnoughStock nhưng chưa có order fallback","Cần tích hợp với OrderService."
Concurrency,"Implement lock tồn kho tại HN bằng SELECT FOR UPDATE hoặc pessimistic lock.","Mục 5.2.1",Nghĩa,"Chưa có lock repository method","Áp dụng trước cho reduce/order tại HN."
Concurrency,"Viết test race condition: 2 thread cùng đặt hàng sản phẩm gần hết tồn kho.","Mục 5.2.3",Hiển,"Chưa có test","Mục tiêu chứng minh tồn kho không âm."
Concurrency,"Ghi log lock/timeout/transaction status để demo trước lớp.","Mục 5.2.1, 5.4.3",Dũng,"Chưa có log nghiệp vụ chi tiết","Dùng transaction_log và application log."
Demo,"Demo product replication, Q1, Q2, lock HN.",,Nghĩa,"Một phần đã có","Cần Postman script/data."
Demo,"Demo Q3, Q4 và 2PC prepare/commit/abort.",,Hiển,"Chưa có","Phụ thuộc OrderService."
Demo,"Demo Q5, Q6 và fallback order.",,Dũng,"Chưa có","Phụ thuộc order liên kho."
